datetime,article
2020.06.0510:41,삼성전자와 LG전자가 QLED TV 관련 소송을 나란히 취하했다.          QLED TV와 올레드TV 광고로 신경전을 벌이던 삼성전자와 LG전자가 나란히 신고를 취하했다.          공정거래위원회는 5일 삼성전자와 LG전자 관련 심사 절차를 종료했다고 밝혔다. 지난해 9월 LG전자는 삼성전자 QLED TV는 LED 백라이트를 사용하는 LCD TV인데도 QLED라는 자발광 기술이 적용된 것처럼 허위·과장광고를 하고 있다며 삼성전자를 표시광고법 위반 혐의로 공정위에 신고했다.          한 달 뒤 삼성전자는 LG전자가 올레드TV 광고에서 QLED TV를 객관적 근거 없이 비방하고 소비자가 보기에 삼성 TV에 대한 영어 욕설로 인식될 수 있는 장면까지 사용했다며 표시광고법 위반 혐의로 공정위에 LG전자를 신고하며 맞대응에 나섰다.          기 싸움을 벌이던 양사는 지난주 상호 신고 취하 의사를 밝혔고 4일 공정위에 신고 취하가 최종 접수됐다. 공정위는 양사의 신고 취하와 함께 소비자 오인에 대한 우려도 해소됐다고 보고 심사절차 종료를 결정했다. 삼성전자에 대해서는 해외 광고심의기구에서 QLED 명칭 사용에 대해 문제가 없다는 결정을 내린 후 QLED TV 용어가 양자점 기술 기반의 LCD TV를 포함하는 넓은 의미로 쓰이고 있다는 점 삼성이 QLED TV에 백라이트가 있다는 사실을 광고 등에 강조해 표시하고 있는 점을 고려했다.          LG전자도 QLED TV 비방으로 논란이 된 광고를 중단해 애초 문제가 된 사안은 정리가 됐다고 봤다.           김두용 기자 kim.duyongjoongang.co.kr
2020.06.0417:34,삼성물산제일모직 합병과 삼성 경영권 승계를 둘러싼 의혹을 수사하는 검찰이 4일 이재용 삼성전자 부회장의 구속영장을 청구했다. 구속심사는 오는 8일 오전 열릴 예정이다. 사진은 지난 5월 6일 서울 서초구 서초동 삼성전자 사옥에서 열린 대국민 사과 기자회견에 입장하는 이 부회장. 연합뉴스         이재용52 삼성전자 부회장의 구속 여부가 오는 8일 오후 늦게 결정될 것으로 보인다.          4일 법원에 따르면 서울중앙지법 원정숙 영장전담 부장판사는 8일 오전 10시30분 서울법원종합청사 서관 321호 법정에서 이 부회장의 구속 전 피의자 심문영장실질심사를 하고 구속 필요성을 심리한다.          함께 청구된 최지성69 옛 삼성 미래전략실장부회장 김종중64 옛 미전실 전략팀장사장의 구속영장도 원 부장판사가 심사한다.          구속 여부는 8일 늦은 오후 또는 9일 이른 오전 결정될 전망이다.          서울중앙지검 경제범죄형사부이복현 부장검사는 이날 오전 이 부회장 등 3명에게 자본시장법상 부정거래 및 시세조종 주식회사 등의 외부감사에 관한 법률 위반 등 혐의를 적용해 구속영장을 청구했다.          김지혜 기자 kim.jihye6joongang.co.kr
2020.06.0411:53,검찰 이재용 삼성전자 부회장 구속영장 청구JTBC 뉴스운영팀Copyright by JTBChttpjtbc.joins.com All Rights Reserved. 무단 전재 및 재배포 금지
2020.06.0300:04,미국의 제재로 반도체 수급에 비상이 걸린 화웨이가 스마트폰용 AP애플리케이션프로세서 칩 공급 업체로 대만 미디어텍과 손잡을 것으로 보인다. 화웨이가 스마트폰 시장에서 경쟁하는 삼성전자 대신 중화권 업체를 택한 것으로 분석된다. 이에 따라 스마트폰용 AP 시장의 지각변동이 예상된다.       미국 제재로 TSMC 위탁생산 막혀IT 매체 “미디어텍이 공급처 될 것”삼성전자 AP 점유율 떨어질 듯   2일 중국 정보기술IT 매체인 테크웹 등 외신에 따르면 화웨이는 대만의 AP 생산업체인 미디어텍과 5G세대 스마트폰용 통신칩 구매를 논의 중인 것으로 알려졌다. AP는 스마트폰의 두뇌 역할을 하는 통신 반도체다.          화웨이는 그동안 스마트폰용 통신칩의 약 80를 자회사인 하이실리콘에서 조달했다. 하이실리콘이 설계한 통신칩 ‘기린kirin’은 주로 대만 파운드리 업체인 TSMC가 위탁 생산했다. 하지만 미국 상무부의 제재로 TSMC와 거래가 끊길 위기에 놓이면서 화웨이는 신규 조달처 확보가 다급해졌다.          TSMC로부터 통신칩을 공급받지 못할 경우 화웨이는 하이실리콘 물량을 다른 파운드리 업체에 맡기거나 경쟁사의 통신칩을 구매해 써야 한다. 관련 업계에선 화웨이가 중국 최대 파운드리 업체인 SMIC나 삼성전자에 통신칩 생산을 위탁할 수 있다는 관측이 나왔다. 하지만 SMIC는 TSMC나 삼성전자와 비교해 미세 공정기술이 한참 뒤처진다. 반면 삼성전자는 TSMC와 기술력은 대등하지만 스마트폰 시장에서 화웨이의 최대 경쟁자다.          화웨이가 다른 경쟁사가 만든 AP칩을 사다 쓰는 것도 애매하기는 마찬가지다. 화웨이가 AP칩을 구할 수 있는 곳은 미디어텍과 삼성전자 정도다. 미디어텍은 ‘디멘시티’ 삼성전자는 ‘엑시노스’라는 AP칩을 만든다. 그런데 미디어텍은 주로 중저가폰용 통신칩에서 강점을 보여왔다. 화웨이의 프리미엄폰에는 적용하기가 쉽지 않다. 화웨이가 성능이 우수한 삼성전자의 엑시노스를 구매할 가능성이 크다는 전망이 나온 이유다.          하지만 이 경우 삼성전자의 입장이 난처해진다. 화웨이에 AP를 대량 공급할 때 얻는 이익과 그 반대의 리스크를 모두 고려해야 하기 때문이다. 화웨이에 AP를 납품하면 당장 실적은 크게 오른다. 하지만 자칫 스마트폰과 통신장비 AP 시장에서 치열하게 경쟁하는 화웨이를 도와주는 모양이 될 수 있다. 또 ‘화웨이 고사 작전’에 나선 미국 정부와 불편한 관계에 놓일 수 있다.           미디어텍은 삼성전자와 AP 시장에서 치열한 중위권 다툼을 벌이고 있다. 시장조사업체인 카운터포인트리서치에 따르면 지난해 모바일 AP 시장 점유율 1위는 퀄컴33.4 2위는 미디어텍24.5이다. 삼성전자는 14.1로 3위다. 세계 스마트폰 시장 2위 업체인 화웨이가 미디어텍과 손을 잡으면 미디어텍은 AP 시장에서 삼성전자를 크게 따돌리게 된다.          김태윤 기자 pin21joongang.co.kr
2020.06.0217:27,미국의 제재로 반도체 수급에 비상이 걸린 화웨이가 스마트폰용 AP애플리케이션프로세서 칩 공급 업체로 대만 미디어텍과 손잡을 것으로 보인다. 화웨이가 스마트폰 시장에서 경쟁하는 삼성전자 대신 중화권 업체를 택한 것으로 분석된다. 이에따라 스마트폰용 AP애플리케이션 프로세서 시장의 지각변동이 예상된다.                화웨이 미디어텍과 통신칩 구매 논의 중     2일 중국 IT정보기술 매체인 테크웹 등 외신에 따르면 화웨이는 대만의 AP 생산업체인 미디어텍과 5G세대 스마트폰용 통신칩 구매를 논의 중인 것으로 알려졌다. AP는 스마트폰의 두뇌 역할을 하는 통신 반도체다. 앞서 일본 매체인 닛케이아시안리뷰는 “화웨이가 대만 미디어텍 중국 유니SOC와 통신칩 구매 협상을 벌이고 있다”고 보도한 바 있다.          화웨이는 그동안 스마트폰용 통신칩의 약 80를 자회사인 하이실리콘에서 조달했다. 하이실리콘이 설계한 통신칩 ‘기린kirin’은 주로 대만 파운드리 업체인 TSMC가 위탁 생산했다. 하지만 미국 상무부의 제재로 TSMC와 거래가 끊길 위기에 놓이면서 화웨이는 신규 조달처 확보가 다급해졌다.             대만 미디어텍이 최근 출시한 5G 스마트폰용 AP 통신칩인 디멘시티820 〈미디어텍 홈페이지 캡쳐〉              다른 파운드리 찾거나 경쟁사에서 공급받거나     TSMC로부터 통신칩을 공급받지 못할 경우 화웨이의 선택지는 크게 두 가지다. 하이실리콘 물량을 다른 파운드리 업체에 맡기거나 경쟁사의 통신칩을 구매해 쓰는 것이다. 관련 업계에선 화웨이가 중국 최대 파운드리 업체인 SMIC나 삼성전자에 통신칩 생산을 위탁할 수 있다는 관측이 나왔다. 하지만 SMIC는 TSMC나 삼성전자와 비교해 미세 공정기술이 한참 뒤처진다. 화웨이의 고성능 칩을 생산할 능력이 부족하다는 것이다. 반면 삼성전자는 TSMC와 기술력은 대등하지만 스마트폰 시장에서 화웨이의 최대 경쟁자다.          여러 선택지 중 결국 대만 미디어텍 택할 듯     화웨이가 다른 경쟁사가 만든 AP칩을 사다 쓰는 것도 애매하기는 마찬가지다. 화웨이가 AP칩을 구할 수 있는 곳은 미디어텍과 삼성전자 정도다. 미디어텍은 디멘시티 삼성전자는 엑시노스라는 AP칩을 만든다. 그런데 미디어텍은 주로 중저가폰용 통신칩에서 강점을 보여왔다. 화웨이의 프리미엄폰에는 적용하기가 쉽지 않다. 화웨이가 성능이 우수한 삼성전자의 엑시노스를 구매할 가능성이 크다는 전망이 나온 이유다. 이와 관련 로이터통신은 최근 중국 전문가의 발언을 인용해 “화웨이가 삼성전자의 통신용 반도체를 구매하는 방안을 검토하고 있다”고 보도했다.          하지만 이 경우 삼성전자의 입장이 난처해진다. 화웨이에 AP를 대량 공급할 때 얻는 이익과 그 반대의 리스크를 모두 고려해야 하기 때문이다. 화웨이에 AP를 납품하면 당장 실적은 크게 오른다. 하지만 자칫 스마트폰과 통신장비 AP 시장에서 치열하게 경쟁하는 화웨이를 도와주는 모양이 될 수 있다. 또 화웨이 고사 작전에 나선 미국 정부와 불편한 관계에 놓일 수 있다. 더구나 삼성전자의 5G 장비 최대 구매처가 미국 이통사들이다.             지난해 전 세계 스마트폰용 AP 시장 점유율 〈SA〉              미디어텍이 화웨이의 최대 공급처 될 것      미디어텍은 삼성전자와 AP 시장에서 치열한 중위권 다툼을 벌이고 있다. 시장조사업체인 카운터포인트리서치에 따르면 지난해 모바일 AP 시장 점유율 1위는 퀄컴33.4 2위는 미디어텍24.5이다. 삼성전자는 14.1로 3위 애플은 13.1로 4위다. 화웨이의 자회사인 하이실리콘은 11.7 5위를 차지했다. 반면 스트래티지 애널리틱스SA 조사에서는 퀄컴이 36로 1위고 애플24과 하이실리콘14이 각각 2 3위다. SA는 삼성전자와 미디어텍의 점유율은 공개하지 않았지만 상위 5개 회사가 전체 시장의 90를 장악한 것을 고려하면 두 회사의 점유율은 각각 12 안팎으로 추정된다.          세계 스마트폰 시장 2위 업체인 화웨이가 미디어텍과 손을 잡으면 미디어텍은 AP 시장에서 삼성전자를 크게 따돌리게 된다.이와 관련중국 IT 매체인 콰이커지는 최근 “미디어텍이 화웨이 통신칩의 최대 공급업체가 될 것”이라며 “중저가폰뿐 아니라 프리미엄폰에도 미디어텍의 칩이 탑재될 것”으로 내다봤다. 미디어텍은 지난해와 올 초 프리미엄폰용 고성능 통신칩으로 디멘시티1000과 디멘시티820을 출시했다.          김태윤 기자 pin21joongang.co.kr
2020.06.0215:46,2조 이상의 상장사들이 2019년 기업지배구조 공시를 마쳤다.          자산 총액 2조원 이상의 유가증권시장 상장사가 지난해 기업지배구조 보고서 공시를 완료했다.          한국거래소는 2일 유가증권시장 상장사 211개사가 ‘2019사업연도 기업지배구조 보고서’를 공시했다고 밝혔다. 기업지배구조 보고서는 기업경영 투명성을 높이고 시장 규율을 강화하기 위해 도입된 의무 공시 제도다. 자산 총액이 2조원 이상인 유가증권시장 상장사는 금융당국이 제시한 지배구조 핵심 지표 15개의 준수 여부를 담은 보고서를 매년 공시해야 한다.     올해 의무 제출 대상은 비금융사가 171곳 금융사가 40곳이다. 이들 기업의 시가총액 합계는 약 1263조원으로 유가증권시장 전체 시가총액의 85.6에 달한다.     그 외 동아쏘시오홀딩스·동아에스티·포스코강판 등 10곳은 의무 제출 대상이 아니지만 자율적으로 보고서를 공시했다.      자산총액 상위 기업 가운데 삼성전자는 기업 지배구조 핵심지표 15개 가운데 12개를 준수한 것으로 나타났다. 현대자동차도 12개를 준수했다. 포스코는 15개 중 14개를 준수한 것으로 나타나 자산총액 상위 10위금융업 제외 기업 가운데 가장 높은 준수율을 보였다.          김두용 기자 kim.duyongjoongang.co.kr
2020.06.0211:20,미국 라스베이거스 베스트바이 매장에 있는 삼성 QLED TV. 김영민 기자          삼성전자가 지난 4월 TV용으로 구매한 액정LCD패널 중 삼성디스플레이에서 구매한 비중이 처음으로 10대까지 떨어진 것으로 나타났다. 삼성전자는 LCD패널을 삼성디스플레이한테 약 3040를 공급받아왔다. 하지만 삼성디스플레이가 올해 말까지 LCD사업을 정리하기로 하면서 삼성전자가 중국과 대만 업체의 LCD납품 비중을 크게 늘린 데 따른 결과다.          중국 대만 업체 비중 높아져     2일 시장조사업체 옴디아에 따르면 지난 4월 삼성전자가 삼성디스플레이로부터 구매한 TV용 LCD 비중은 전체 대비 1956만5000장로 집계됐다. 옴디아의 조사결과는 지난 3월 말 삼성디스플레이가 대형 LCD 사업 철수를 발표한 이후 첫 공식 집계이기도 하다. 신종 코로나바이러스 감염증 확산 여파 등으로 인해 삼성전자의 4월 대형 LCD 구매량은 295만3000장으로 3월 대비 25395만3000장 감소했다.             삼성전자의 업체별 LCD 패널 구매 비중. 그래픽신재민 기자         삼성전자에 가장 많은 LCD 패널을 공급한 업체는 차이나스타23·약 67만장로 나타났다. 그다음 중국 BOE16·약 47만8000장 대만 AUO15·약 43만장 순이다. 차이나스타의 경우 4년 전인 2016년 12월 삼성디스플레이에서 선전 LCD 공장 건설 용도로 21억 위안약 3500억원을 투자받았다. 삼성전자는 지난해까지 이곳에서 생산하는 LCD 패널 가운데 10 안팎의 물량을 공급받은 것으로 알려져 있다. 차이나스타는 중국 1위 TV 업체 TCL의 자회사이기도 하다.          삼성전자는 또 샤프에서도 TV용 LCD 패널을 약 2만장1 공급받았다. 샤프가 삼성전자에 LCD를 공급한 건 대만 폭스콘에 합병된 직후인 2016년 12월 이후 처음 있는 일이다.폭스콘의 궈타이밍미국명 테리 궈 회장은 평소 ‘타도 삼성 타도 한국’을 외치는 것으로 알려진 인물로 삼성과 샤프는 한때 불편한 관계를 이어갔다. 당시 삼성전자는 LG디스플레이에서 LCD 패널을 약 70만장 공급받는 것으로 위기를 타개했다.          LG에서도 LCD 패널 납품받아     LG디스플레이도 같은 기간 삼성전자에 LCD 패널을 약 2만장1 공급했다. 모회사자회사 관계인 삼성디스플레이가 내년부턴 대형 LCD 패널을 생산하지 않을 계획이기 때문에 삼성전자가 패널 공급선을 다변화하려는 시도로 보인다. 삼성디스플레이는 내년 상반기 양산을 목표로 QD 디스플레이 개발을 진행하고 있다.          QD 디스플레이 양산 계획이 진행 중이지만 삼성전자는 QLED TV를 비롯한 LCD TV를 계속 판매할 계획이다. 화면 밝기휘도 측면에서 아직은 QD 패널보단 LCD가 더 높은 값을 나타내기 때문이다.          김영민 기자 bradkimjoongang.co.kr
2020.06.0200:04,삼성전자 평택 반도체공장 증설공사 현장. 삼성전자는 평택 2라인에 낸드플래시 생산을 위한 클린룸 공사에 착수했으며 2021년 하반기부터 양산을 시작할 계획이라고 1일 밝혔다. 연합뉴스         삼성전자가 비메모리에 이어 메모리 반도체의 투자를 가속화한다. 삼성전자는 지난달 평택 파운드리반도체 위탁생산 10조원 투자에 이어 1일 낸드 플래시 반도체에 7조9조원을 추가로 투자하겠다는 계획을 내놨다. 중국이 D램과 낸드플래시 등 메모리 반도체 분야에서 추격의 속도를 높이자 과감한 투자로 더 멀찌감치 따돌리겠다는 전략으로 풀이된다. 이른바 ‘초격차’ 전략이다.       클린룸 착공 내년 하반기 양산19년째 1위 낸드 초격차 벌리기지난달엔 파운드리 10조 투자메모리·비메모리 쌍끌이 전략   삼성전자는 1일 평택 2라인에 낸드플래시 클린룸 공사에 착수해 내년 하반기 양산에 들어갈 예정이라고 발표했다. 삼성전자 관계자는 “인공지능AI과 사물인터넷IoT 등 4차 산업혁명 도래와 5세대5G 통신 보급에 따라 장기적으로 낸드 수요가 커질 것으로 전망된다”면서 “메모리 분야에 대한 적극적인 투자로 미래 시장기회를 선점해 나갈 것”이라고 말했다. 반도체 공장은 건물 건립 클린룸 설치 장비 투입 시제품 생산 양산 순서로 구축된다. 업계에서는 이번에 삼성이 투자하는 금액을 7조9조원 규모로 추산한다.          낸드플래시 메모리는 개인용 컴퓨터PC에 들어가는 솔리드스테이트드라이브SSD와 데이터센터 등에 활용된다. 시장조사업체 트렌드포스에 따르면 2020년 1분기 전 세계 낸드플래시 매출액은 135억8000만 달러약 16조7794억원로 전기 대비 8.3 상승했다. 삼성전자는 매출액 45억 달러 시장점유율 33.3로 1위를 기록 중이다. 낸드 분야에서 삼성은 2002년 이래 1위 자리를 놓치지 않고 있다.              1분기 낸드플래시메모리 점유율. 그래픽김경진 기자 capkimjoongang.co.kr          지난해 7월에는 업계 최초로 100단이 넘는 6세대1XX단 V낸드 제품을 양산한 바 있다. 낸드의 ‘단’은 셀을 겹겹이 쌓음으로써 속도와 안정성·효율성을 향상시키는 것으로 고도의 기술력이 필요하다.          삼성전자는 2030년까지 메모리뿐 아니라 비메모리 분야에서도 반도체 1위에 올라선다는 ‘반도체 비전 2030’을 발표했다. D램과 낸드 등 메모리 분야에서는 부동의 1위를 지키고 있지만 반도체 시장의 70를 차지하는 비메모리 분야에서 삼성은 물론 국내업체 전체의 세계 시장 점유율이 4에 불과하다. 반도체 비전 2030은 투자 금액만 10년간 130조원에 달한다.          이 때문에 자칫 1위를 차지하고 있는 메모리 분야에 대한 투자가 소홀해지는 것 아니냐는 우려도 나왔다. 그러나 이번 투자로 메모리 분야 1위 수성에 대한 의지도 분명히 한 셈이다. 이재용 삼성전자 부회장은 지난달 6일 기자회견에서 “끊임없는 혁신과 기술력으로 가장 잘할 수 있는 분야에 집중하면서도 신사업에 과감하게 도전하겠다”고 밝히기도 했다.          글로벌 경쟁사들 역시 메모리 시장을 호시탐탐 넘보고 있다. 100단이 넘는 고층 낸드 메모리 양산 경쟁도 가열되고 있다. 비메모리 분야 강자인 인텔은 올해 144단 낸드 양산 계획을 밝혔고 마이크론도 2분기에 128단 낸드 양산을 시작한다. 중국의 양쯔메모리YMTC 역시 지난달 128단 낸드 개발에 성공했다며 연내 양산을 선언했다. SK하이닉스도 176단 4차원4D 낸드를 연구하고 있다. 이에 대응해 삼성전자는 160단 이상 7세대 낸드를 개발 중인 것으로 알려졌다.          반도체 업계 관계자는 “메모리 반도체 중에서도 D램보다 낸드의 기술 진입 장벽이 낮다”면서도 “아직 삼성과 경쟁사들의 격차가 제법 되지만 삼성은 선제적인 투자로 ‘초격차’를 벌리겠다는 의도로 풀이된다”고 말했다. 삼성전자 메모리사업부 전략마케팅실 최철 부사장은 “이번 투자는 불확실한 환경 속에서도 메모리 초격차를 더욱 확대하기 위한 노력”이라며 “최고의 제품으로 고객 수요에 차질없이 대응함으로써 국가 경제와 글로벌 IT산업 성장에 기여할 것”이라고 밝혔다.          장주영 기자 jang.jooyoungjoongang.co.kr
2020.06.0114:31,삼성전자 평택캠퍼스 전경.          삼성전자가 최첨단 낸드플래시 생산라인을 증설하며 ‘메모리 초격차’ 행보에 속도를 내고 있다.          삼성전자는 1일 경기도 평택캠퍼스 2라인에 낸드플래시 생산라인을 추가로 구축한다고 발표했다. 약 8조원을 투자한다. 평택 2라인은 지난달 21일 발표한 극자외선EUV 파운드리 라인이 들어서는 곳이다. 지난달 21일 이곳에 약 10조원 선의 초미세 극자외선EUV 파운드리 라인을 증설하겠다고 밝힌 지 열흘 만에 다시 나온 투자 계획으로 메모리 초격차 행보를 지속하겠다는 삼성의 의지가 반영된 것이다.          삼성은 지난달 평택 2라인에 EUV 파운드리와 함께 낸드플래시 생산을 위한 클린룸 공사에 착수했다. 내년 하반기부터 5나노 이하 EUV와 함께 최첨단 V낸드 제품 양산을 시작할 계획이다. 삼성전자는 지난해 7월 업계 최초로 6세대 V낸드 제품 양산에 성공한 바 있다.          이번 추가 투자로 평택캠퍼스는 2015년 단지 조성을 위한 첫 삽을 뜬 지 5년 만에 메모리 반도체와 비메모리 반도체를 망라하는 최첨단 반도체 복합 생산기지로 거듭나게 됐다. 삼성전자는 이번 낸드 추가 투자의 의미를 인공지능AI 사물인터넷IoT 등 4차 산업혁명 도래와 5G 보급에 따른 중장기 낸드 수요 확대에 대응하는 것이라고 설명했다.          최근 언택트untact·비대면 라이프 스타일 확산으로 낸드 플래시 등 메모리 수요가 확대될 것으로 예상되는 가운데 선제대응에 나서겠다는 의미다. 삼성전자는 이번 평택캠퍼스 2라인의 한 개 층을 EUV 파운드리 라인과 낸드플래시 라인으로 활용하고 다른 한 개 층에는 메모리 반도체 D램 생산 라인을 추가 구축할 것으로 알려졌다.          김두용 기자 kim.duyongjoongang.co.kr
2020.06.0113:17,롯데하이마트대표 이동우가 삼성전자 ‘비스포크 3도어 냉장고’를 1일 단독 출시한다. 삼성전자에서 출시한 ‘비스포크’는 나만을 위한 맞춤형 냉장고로 소비자가 가전 제품에 자신의 라이프스타일과 취향을 반영할 수 있다는 것이 특징이다. 삼성전자에서 비스포크 3도어를 출시한 것은 이번이 처음이다. 비스포크 3도어 냉장고는 글래스 소재 도어 기준 160만 원으로 용량은 296L다. 12인 가구가 특히 사용하기 좋고 2대를 붙이면 양문형 냉장고처럼 활용할 수도 있다. 주방 가구에 맞춰 빌트인 연출이 가능한 ‘키친핏’ 제품이다. ‘비스포크 3도어 냉장고’는 롯데하이마트온라인쇼핑몰과 전국 롯데하이마트 매장에서 구매할 수 있다. 롯데하이마트 단독 출시를 기념해 사은품 증정 엘포인트L.POINT 추가 적립 등 다양한 혜택을 마련했다.             .                   비스포크 3도어는 가운데 칸을 소비자 취향에 따라 자유롭게 활용할 수 있다는 것이 특장점이다. 3도어는 상냉장 하냉동 방식으로 상단 도어는 냉장 하단 도어는 냉동으로 쓰인다. 중칸 용량은 50L로 라이프스타일에 따라 냉장 김치 보관 살얼음 냉동 4가지 온도로 설정할 수 있다. 가운데 칸을 냉장·냉동 보조칸으로 사용할 수도 있고 생활 패턴에 따라 반려동물 간식이나 화장품 약품을 보관하기에도 좋다. 취향에 따라 3개 도어 색상을 다양하게 선택할 수 있다. 색상은 총 12가지다.                    단독 출시를 기념해 1일 오후 6시 롯데하이마트 라이브 커머스 ‘하트라이브’에서 삼성전자 라이프스타일 가전을 소개한다. 비스포크 3도어 냉장고와 다채로운 색상의 도어 패널을 직접 선보일 계획이다. 또 라이프스타일 TV인 ‘더 프레임’ ‘더 세로’도 함께 소개한다. 방송은 롯데하이마트 모바일 앱을 통해 생방송으로 시청할 수 있다. 롯데하이마트온라인쇼핑몰에서 1일인 오늘 단 하루만 주는 혜택도 있다. 30만원 상당 에어프라이어3.6L를 증정하고 엘포인트 5만 포인트도 추가 제공한다.                    추가로 롯데하이마트온라인쇼핑몰에서 6월 30일까지 행사 카드로 결제하면 결제금액의 10를 최대 10만원까지 청구할인해준다. 오프라인 매장에서는 6월 1일부터 30일까지 구매 고객에게 엘포인트 10만 포인트를 제공하고 롯데하이마트온라인쇼핑몰 ‘차세대라이프스타일관’에 구매 인증 사진과 후기를 업로드하면 글라스락9p과 엘포인트 5만 포인트를 추가 적립해준다.                    롯데하이마트 이병률 온라인상품1팀장은 “롯데하이마트가 삼성전자의 비스포크 3도어 냉장고를 단독으로 선보이게 되었다”며 “많은 고객님들이 개성 넘치는 ‘나만의 냉장고’와 롯데하이마트에서 준비한 혜택을 함께 누리시길 바란다”고 말했다.          서지영 기자 seo.jiyeongjoongang.co.kr
2020.05.3008:16,삼성물산제일모직 합병 과정에 부당하게 개입한 혐의 등과 관련해 사흘 만에 검찰에 재소환된 이재용52 삼성전자 부회장이 17시간 30분 동안 검찰 조사를 받고 30일 새벽 귀가했다.        이재용 삼성전자 부회장이 지난 6일 오후 서울 서초동 삼성사옥에서 경영권 승계 및 노동조합 문제 등과 관련해 대국민 사과를 하기 위해 회견장으로 입장하고 있다. 뉴시스              서울중앙지검 경제범죄형사부이복현 부장검사는 29일 오전 8시 20분께 이 부회장을 배임과 자본시장법 위반 등 혐의 피고발인 신분으로 불러 조사했다. 이 부회장은 17시간 30분 뒤인 30일 오전 2시께 귀가했다.           검찰 측은 실제로 검찰 조사가 이뤄진 건 오후 8시 50분까지고 이 부회장 측이 조서 열람을 종료한 시각이 새벽 2시경이라고 밝혔다.           앞서 이 부회장이 같은 혐의로 처음 검찰에 소환된 지난 26일에도 검찰은 17시간 동안 조사를 벌였다.           검찰은 2015년 삼성물산과 제일모직이 합병하는 과정에서 이 부회장의 삼성그룹 경영권 승계 과정을 염두에 둔 그룹 차원의 개입이 있었다고 의심하고 있다. 이 합병을 성사시키기 위해 삼성바이오로직스의 회계를 부정하게 변경한 것도 경영권 승계와 관련돼 있다는 입장이다.           검찰은 이날 조사 결과를 토대로 이 부회장의 재소환 여부를 검토하겠다고 밝혔다. 이 부회장의 조사가 끝나면 수사 결과를 바탕으로 관련자들의 처벌 여부도 결정할 방침이다.           신혜연 기자 shin.hyeyeonjoongang.co.kr
2020.05.2909:16,이재용 삼성전자 부회장. 뉴시스         삼성물산·제일모직 합병과 삼성 경영권 승계를 둘러싼 의혹을 수사하는 검찰이 29일 오전 이재용52 삼성전자 부회장을 재소환해 조사중이라고 밝혔다. 지난 26일 소환 조사 이후 사흘만이다.           검찰에 따르면 서울중앙지검 경제범죄형사부부장 이복현는 이날 오전 이 부회장을 다시 불러 조사 중이다. 첫 소환 때와 같이 이날도 영상녹화실에서 조사가 진행될 것으로 보인다.          이 부회장은 지난 26일 검찰 첫 소환에서 조서 열람 시간 등을 포함해 총 17시간 조사를 받았다. 2017년 2월 박영수 특별검사팀 조사 이후 3년3개월만이었다. 이때 이 부회장은 “정상적인 회계 처리였고 경영권 승계는 검찰의 확대해석이다. 관련 의혹에 대해 보고받거나 지시한 적 없다”고 진술해 의혹을 부인한 것으로 전해졌다.          검찰은 2018년 11월 금융위원회 산하 증권선물위원회로부터 삼성바이오의 분식회계 혐의 고발장을 접수하고 수사를 시작했다. 작년 9월부터는 분식회계의 동기에 해당하는 그룹 경영권 승계를 둘러싼 의혹으로 수사를 확대했다.          검찰은 이 부회장을 조사한 내용을 토대로 주요 피의자들의 법적 책임과 가담 정도를 따져 기소 여부를 결정할 방침이다.           검찰은 장시간의 조사를 마친 후 사흘 만에 이 부회장을 다시 부르며 막바지 수사에 속도를 내고 있다.          한영혜 기자 han.younghyejoongang.co.kr
2020.05.1811:22,삼성전자가 사내벤처 육성 프로그램 C랩 인사이드의 5개 우수 과제 스타트업 창업을 지원한다고 18일 밝혔다. 사진 삼성전자              삼성전자는 사내벤처 육성 프로그램 C랩 인사이드의 5개 우수 과제에 대해 올해 스타트업 창업을 지원한다고 18일 밝혔다.C랩 인사이드는 삼성전자가 창의적 조직 문화를 확산하고 임직원들의 창의적인 아이디어를 발굴하기 위해 2012년 12월부터 도입한 사내벤처 육성 프로그램이다.         삼성전자 C랩 인사이드 5개 스타트업 독립     이번에 독립하는 5개 스타트업은 ▶컴퓨터 그래픽 영상 콘텐트를 쉽게 제작할 수 있는 ‘블록버스터’ ▶종이 위 글자를 디지털로 변환·관리해주는 ‘하일러’ ▶AI인공지능 기반 오답 관리와 추천 문제를 제공하는 ‘학스비’ ▶인공 햇빛을 생성하는 창문형 조명 ‘써니파이브’ ▶자외선 노출량 측정이 가능한 초소형 센서 ‘루트센서’ 등이다.             삼성전자는 사내벤처 육성 프로그램 C랩 인사이드의 5개 우수 과제에 대해 올해 스타트업 창업을 지원한다고 18일 밝혔다. 사진은 종이 위 글자를 디지털로 관리하는 스마트 형광펜 하일러. 사진 삼성전자              삼성전자는2015년 8월 이후 약 5년간 사내 벤처를 육성C랩 인사이드해 분사스핀오프하는 C랩 스핀오프Spinoff를 진행해왔다. 삼성전자에 있다가 스핀오프할 경우 창업자에게 초기 사업자금과 창업지원금을 준다. 홀로 스타트업을 운영하다가 실패해도 5년내 재입사할 기회를 부여해 사내 벤처 참여 분위기를 조성했다. 삼성전자에 따르면 지금까지 45개 스타트업이 사내에 있다가 독립했다.          한인국 삼성전자 창의개발센터 상무는 “지속적인 스타트업 육성을 통해 스타트업과 삼성전자가 서로 윈윈할 수 있는 협력 생태계 구축에 기여하겠다”고 말했다.          김영민 기자 bradkimjoongang.co.kr
