datetime,open,high,low,close,volume,prev,sub,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20
2020-11-0510:22,59700,59700,59600,59700,14657,0,,-0.0017812865977760537,0.003270673422237472,0.004085817437686047,-0.0011351510271808364,0.00150132725505742,-0.0048349609952278595,-0.0009659973107077666,-0.0036456287691030557,-0.004613128723299271,-0.006358151139422746,0.006263545323983629,0.0009000259122288556,-0.004247215360098918,-0.0038973095365973758,0.00792554790418556,0.007151973442735456,0.007595530462124956,0.0018979181115868797,-0.0034278150790971944,-0.005685714733315206
2020-11-0510:22,59700,59700,59600,59700,14657,0,,-0.0017812865977760537,0.003270673422237472,0.004085817437686047,-0.0011351510271808364,0.00150132725505742,-0.0048349609952278595,-0.0009659973107077666,-0.0036456287691030557,-0.004613128723299271,-0.006358151139422746,0.006263545323983629,0.0009000259122288556,-0.004247215360098918,-0.0038973095365973758,0.00792554790418556,0.007151973442735456,0.007595530462124956,0.0018979181115868797,-0.0034278150790971944,-0.005685714733315206
2020-11-0314:43,58700,58800,58700,58700,21066,0,,-0.001888061966568123,-0.007256570084613533,-0.005185783008035337,-0.002940419986241728,0.009342845047190136,-0.004190836621543643,0.001635888751551928,0.004626503195524262,0.008596885135329232,0.004124435486482596,-0.002891565559307606,0.0034506624565615934,-3.559658689597626e-05,-0.0017193935345208003,-0.004427227033331306,-0.004888613386924025,-0.004050927582330033,0.0031990631894344063,0.0032080602640723634,0.0012906518241655926
2020-11-0314:43,58700,58800,58700,58700,21066,0,,-0.005463191061157199,-0.0056651442248166865,-0.006925308355378275,-0.0016014404230950453,-0.003581622204041334,0.0011228185205245874,0.004722594354650406,-0.0030141872723539855,-0.006190261807616043,0.0025866464702788017,0.008042227666040735,-0.00734955000782261,0.001125024118684937,-0.0014370764109620398,0.003926767001782237,0.004095984960311106,0.002589430456564316,0.005856578508604907,0.005084934426896973,0.002074775282904231
2020-11-0211:38,57100,57100,57000,57100,4710,0,,-0.004144477308180546,-0.004673141563687726,-0.007754020022559733,-0.0027766121598977855,-0.0022924753221052925,-0.0007675069080064132,0.007042220107928773,-0.00373650293356851,-0.004451925228480285,0.008441409299440546,-0.00021804144715895725,-0.007325985441780093,0.0009201943764352386,-0.0016962767894613047,0.003370515449915042,0.0046726061931816,0.0031433143208463676,0.0031425774574117197,0.0022107417606266984,0.006893386159100666
2020-10-2914:13,58000,58000,57900,58000,14814,0,,-0.004670821243840675,-0.004423620069563481,-0.001875666586595226,0.001482360652512959,-0.007321418071090703,8.468419748363326e-05,0.000776894473543887,0.009121723379840387,0.0052227918722683115,-0.003666011462939568,0.004216614007657773,0.0004971702026506875,-0.003659215470920018,-0.006517591692495936,-0.002629713698440093,0.007458976087482868,0.006887904851443141,-0.0011776405966235479,0.002628798863785944,-0.0024362196961603614
2020-10-2313:16,60300,60300,60200,60200,3108,-100,,-0.004684745116444736,-0.0042057734052685005,-0.0030285551636114287,0.0016974262331372718,-0.006165913141585682,0.0007986527843807266,-0.00036255755429250735,0.008923342516321412,-0.003141328040736703,0.006223743857731572,-0.00350994290120516,0.004932455947939662,0.007028409227121346,-0.0002673640163562103,-0.004258288379090936,-0.005737494485688123,-0.0017765418925790243,0.0015432899783093213,0.007713858887520633,-0.00172267533560294
2020-10-2310:17,59900,60000,59800,59900,38183,0,,-0.0028131010138535695,0.0031026320782310025,-0.004337393014207137,0.005613472336071834,0.0015883569960755421,-0.007544972297794093,-0.0008347880252583216,0.0011966138041470402,0.009637489994633161,0.0006984777496609878,0.005670668725523694,0.005046293164479157,-0.005132010527201063,0.002140051681214563,0.003953498351852014,-0.0017348037861609896,-0.007683339646294832,-0.0018675826980747645,-0.0037649859604870495,-0.0029345779125571772
2020-10-1913:05,60000,60000,59900,59900,21679,-100,,-0.002813101013853483,0.0031026320782311092,-0.004337393014207004,0.005613472336071674,0.0015883569960755133,-0.007544972297794168,-0.0008347880252583729,0.0011966138041470946,-0.002934577912557207,0.0096374899946332,0.0006984777496609868,0.005670668725523728,0.0021400516812144317,0.0050462931644791355,-0.005132010527201086,0.003953498351852045,-0.0017348037861608812,-0.007683339646294865,-0.0018675826980748007,-0.003764985960487048
2020-10-1409:10,60800,60800,60700,60800,23967,0,,-0.002813101013853539,0.003102632078231016,-0.004337393014207057,0.005613472336071777,0.0015883569960755332,0.005670668725523709,-0.003764985960487047,-0.007544972297794154,-0.0008347880252583281,0.0011966138041470632,-0.0029345779125572002,0.009637489994633168,0.0006984777496609867,0.0021400516812145314,0.0050462931644791546,-0.0051320105272010495,0.003953498351852017,-0.0017348037861609582,-0.007683339646294848,-0.0018675826980747768
2020-10-1310:26,60800,60900,60700,60800,240199,0,,-0.0041140940759831325,0.0028400508655580165,-0.006758093632143223,0.005182452172497211,0.0015593052049486526,0.0054717418428401185,-0.00444236097461711,-0.006361001049093219,-0.0007508882106555914,0.0005914028684079125,-0.0006672001890329324,-0.004173432567694276,0.007534182530136373,0.0013730941217840534,0.006619073973093183,0.004953730758541553,-0.005397999977809272,0.0046963253865574825,-0.0021941415338435923,-0.005962147513492208
