,datetime,open,high,low,close,volume,prev,sub,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20
10,2020-10-1310:26,60800,60900,60700,60800,240199,0,0,-0.0041140940759831325,0.0028400508655580165,-0.006758093632143223,0.005182452172497211,0.0015593052049486526,0.0054717418428401185,-0.00444236097461711,-0.006361001049093219,-0.0007508882106555914,0.0005914028684079125,-0.0006672001890329324,-0.004173432567694276,0.0075341825301363735,0.0013730941217840536,0.006619073973093183,0.004953730758541553,-0.005397999977809272,0.004696325386557482,-0.0021941415338435927,-0.005962147513492208
11,2020-10-0812:05,59700,59700,59600,59600,5289,-100,0,-0.002914383875048339,0.0019988183100460763,-0.007203166116374989,0.004639715899892956,-0.0007985281723018959,0.0011128571383181944,0.007079863757872567,0.003976718864744622,-0.003727135122770289,-0.006865806571203718,-0.0005633820835503412,-0.000427228994652697,-0.0059409721701944454,-0.0014277845085690355,-0.002632130759599351,0.009231025282124073,0.006543310270194006,0.0040620048981481575,-0.003072892824008509,-0.0030709032230670343
12,2020-10-0810:31,59600,59700,59600,59700,40797,100,1,-0.001992080734477284,0.0003083979683167368,-0.0038665009017847963,0.004757721831301596,0.0004886938581532492,0.006480246701877886,0.0009782642949762905,0.004999625303890481,-0.00010978540308289492,-0.007107128527582972,-0.0036982067652599664,-0.0006821508849326562,-0.008418684913438515,-0.00017189942907358608,-0.0035948669518848994,-0.0031062245047756803,-0.004350321567513324,0.009597388001122415,0.005374391721147997,0.0041131209030199215
13,2020-10-0809:57,60100,60100,60000,60000,45585,-100,0,-0.001992080734477177,0.00030839796831670283,-0.00386650090178451,0.0004886938581533679,0.004757721831301539,0.006480246701877817,0.0009782642949762788,-0.00010978540308281873,0.004999625303890576,-0.00710712852758303,-0.003698206765259939,-0.0006821508849326566,-0.008418684913438602,-0.00017189942907354906,-0.0035948669518849046,-0.004350321567513483,-0.003106224504775723,0.009597388001122434,0.0053743917211478715,0.004113120903019801
14,2020-10-0809:08,60400,60400,60200,60200,251471,-200,0,-0.0021363470238906254,0.0028037002678065613,-0.0044544449164047924,-0.0006069863079240051,0.0037134229588226954,0.005834828930775617,-0.0008452690707975317,0.0010594429600032,0.00515732518437995,-0.006496200371014275,-0.004515184906554178,-0.0012076784956333007,-0.00800642339466021,-0.0038610557663096476,-0.00013710405762272157,-0.0037669014399384936,-0.002579354029732752,0.009440642602095348,0.006947001164997753,0.0036565857116014093
15,2020-10-0612:31,59200,59400,59200,59300,117843,100,1,0.00027266317831456816,0.0007504424940128992,0.002031708963368187,0.0031682791250768377,0.004233764354996932,0.0039979914450142175,0.0018018126913100488,0.001379403091357534,0.006415868310548307,-0.008471235816649282,-0.0005598468044661951,-0.0029634651041777647,-0.002538245516591253,-0.00897138673134967,0.0011690171990572712,-0.0068630615031551,0.0001747888396467806,-0.0029450736107541195,-0.0017766614429939793,0.009693236837433774
16,2020-09-2212:09,58500,58500,58400,58400,5730,-100,0,-0.00014443394090520639,-0.003724344931701804,0.003450113679707888,0.003405837525467141,0.005153002851564294,0.0031160627246597213,0.005219522297107819,0.0018094833360667805,0.00803663724594098,-0.005783089503070626,0.0009126804729179735,-0.002978974406282164,-0.003317462993906938,-0.00796094336075957,0.00280984096701254,-0.0069541408879016465,0.002312968559821693,-0.006254833285815468,-0.002517038498679009,0.0034091121487556
17,2020-09-1610:08,60600,60800,60600,60800,147816,200,1,-0.0005942787631996383,0.0049842410162304895,-0.00626330613812938,-0.003961966974831196,-0.0037567666357217477,-0.002662628398990709,-0.005631986383514588,-0.0017167955217468527,-0.007190705756091147,0.005573018237508338,-0.0009408407205626914,0.0022034515026431206,0.00276064530208728,0.007438806699603344,-0.002550485944413891,0.00809928525343738,-0.002828690124664503,-0.0007200852237120438,0.005609429508686064,0.0021496590653823705
18,2020-09-0810:46,58100,58200,58100,58200,13175,100,1,0.0035958858967844844,-0.0040831941831434475,0.013177307595442864,0.0014865768465432976,-0.005264940733593019,-0.005377121986299354,0.0011775699469168813,-0.00015234174783126912,-0.0020157322474978518,0.001257128253281658,0.00037165874823418606,0.002867203127003818,0.002937294483297799,0.0017933893526713637,-0.008564788997934706,-0.0014726835731755366,-0.002378270046733872,0.00272484448351568,0.0020369462038571018,-0.004116731421340078
19,2020-09-0714:02,56500,56500,56400,56400,16808,-100,0,-0.0005432384858193732,0.00513707161701086,-0.005847828993801722,-0.0035270421666221095,-0.004025504820272736,-0.002492775488782668,-0.005092697345059375,-0.0011067921175571137,-0.007047935786487551,0.005638177043308699,0.006216834342830356,-0.0006094894047674492,0.002569308178655064,0.003027247997447561,0.007603884007704904,-0.0025528686489537378,-0.0009654349184315226,-0.002070731612526452,0.008314211412860933,-0.0026243948107365555
20,2020-09-0414:56,55600,55600,55500,55600,21413,0,0,-0.0005432384858189652,0.005137071617010263,-0.005847828993800371,-0.0035270421666218953,-0.002492775488783065,-0.004025504820273398,-0.005092697345059252,-0.001106792117557226,-0.007047935786488099,0.0056381770433088655,0.00621683434283069,-0.000609489404767422,0.00256930817865546,0.003027247997447893,0.007603884007705302,-0.0025528686489534602,-0.0009654349184327617,-0.0020707316125266576,0.008314211412860527,-0.0026243948107364233
21,2020-09-0310:45,56400,56400,56300,56400,22338,0,0,0.0031606876082243577,-0.002723074940562963,0.011487060869655341,-0.00029330865440021733,0.0037103626818152133,-0.004772067780785217,0.003012045889086203,-0.0007649008680990122,0.0016906488314574436,-0.000656857934701962,-0.004024862350050429,-0.0007565654451383912,0.0019208814315029331,0.0042281815200919904,-0.010028440901377349,0.0008163753958210358,0.00019988546136131811,0.0008242928577940756,-0.008140982417618096,0.0011106387459237372
22,2020-09-0210:46,54800,54800,54700,54700,40212,-100,0,0.003160687608224305,-0.0027230749405629962,0.01148706086965532,-0.00029330865440008777,0.003710362681815258,-0.004772067780785104,0.0030120458890863107,-0.0007649008680989684,0.0016906488314576494,-0.0006568579347019762,-0.004024862350050596,0.0019208814315028347,-0.0007565654451385614,-0.008140982417617956,0.004228181520091955,-0.010028440901377462,0.0008163753958211159,0.00019988546136112627,0.0008242928577940827,0.0011106387459237654
23,2020-09-0111:58,54500,54500,54400,54500,5656,0,0,0.003160687608224315,-0.002723074940563005,0.011487060869655348,-0.00029330865440014436,0.0037103626818152415,-0.004772067780785152,0.003012045889086268,-0.0007649008680989829,-0.008140982417618013,0.0016906488314575563,-0.0006568579347019616,-0.004024862350050526,0.0019208814315028824,-0.0007565654451384754,0.0042281815200919705,-0.010028440901377424,0.0011106387459237383,0.0008163753958210772,0.00019988546136120536,0.0008242928577940946
24,2020-08-3114:33,54200,54300,54200,54300,14671,100,1,0.003160687608224333,-0.0027230749405629897,0.011487060869655357,-0.0002933086544002072,0.0037103626818152046,-0.00477206778078525,0.003012045889086205,-0.0007649008680989852,-0.008140982417618115,0.0016906488314574078,-0.0006568579347019834,-0.004024862350050414,0.0019208814315029414,-0.0007565654451383403,0.0008163753958210327,0.004228181520092004,-0.01002844090137735,0.0011106387459237246,0.00019988546136133126,0.0008242928577940942
25,2020-08-2713:56,55700,55800,55700,55800,10026,100,1,0.003233470991205785,-0.002271555709234516,0.011333727431725641,2.4675031509543882e-05,0.004052330046368572,-0.004601720942980656,0.0031914032227311154,-0.0006415349352010653,-0.004448772011486203,-0.007812481012900059,0.0021558457063133737,-0.0007022125507414191,0.001719290737187008,-0.0009223719551487851,0.0010853922278209226,-0.00044249511781881037,0.004208537982541131,-0.01020240831602532,0.0011666384800463991,-0.00012575930591263127
26,2020-08-2710:45,55700,55700,55600,55700,12272,0,0,0.0032196083063470125,-0.003299135166139513,-0.0021134587917439602,0.00473995964972209,0.010605608762307959,0.0017344114522128314,0.0043079806646167396,-0.0052764077576065715,1.909307235867112e-05,-0.00018902872253205043,-0.00577182825582824,0.0039001388123897657,0.0006032703556332135,-0.002024637579068097,0.0014578304233007454,-0.000748914738034391,0.002662118293151924,-0.006676849317452744,-0.009799610815179868,0.0026498513515445014
27,2020-08-2615:04,56300,56300,56200,56200,18841,-100,0,0.0027236510143990337,-0.002196255467506012,-0.006913275505922605,9.301698260016015e-05,0.012022628253863368,-0.0034089610558781396,0.0012839472356679276,-0.0015245128841407491,0.002196535133962118,0.002659143526689363,0.0010855884980562661,-0.00873719171563558,-0.0016055801626236408,-9.136632349048527e-05,0.003792718126571915,0.0014963393132947887,0.0035187456109587343,0.003115927135195229,-0.0026521584670065163,-0.006858939249055153
28,2020-08-2510:10,56200,56200,56100,56200,21705,0,0,0.0028947392852744715,-0.0038679505672948008,-0.00511539291914463,0.001920280999914662,-0.0033693398939652988,0.01312407494258098,0.0006594897800674746,-0.0010467079380743238,7.818469433418323e-05,0.002800547276255452,-0.00017568193907001192,0.0017049768261553206,-0.009662870634743291,-0.0026927456290827623,0.002717622260753441,-0.001065829562805769,0.003793086957805857,0.0010663163892575779,-0.004811488031048087,0.0010486877028295333
29,2020-08-2509:51,56200,56300,56100,56300,92010,100,1,0.002894739285274493,-0.003867950567294836,-0.0051153929191446006,0.0019202809999146972,-0.0033693398939652515,0.013124074942580987,0.0006594897800675082,-0.0010467079380743103,7.818469433414283e-05,0.002800547276255419,-0.00017568193907003879,0.0037930869578058344,0.0017049768261552982,-0.009662870634743312,-0.002692745629082737,0.002717622260753418,-0.001065829562805763,0.0010663163892575703,-0.0048114880310481285,0.0010486877028295792
30,2020-08-2110:18,56400,56400,56200,56200,55195,-200,0,0.0030898890188067038,-0.0030655184208174093,-0.0024763888519030107,0.004699464893386453,0.0011430245692843751,0.011404291742487884,0.004297014127032624,-0.00013502927253869772,-0.00485688069612442,-0.0005378327780763914,0.0005472394053331817,0.0003467605178473584,-0.0016081799332475044,-0.005785666847067768,0.003950574023901781,0.0009770800260684458,0.0014335423507242865,0.002671925932195764,-0.006311918001370068,-0.009783391805923565
